Unnamed: 0,reviews
0,"
I ordered this phone 1 year ago... Overll all it is an average phone and budget friendly but biggest issue is it's battery drainage... Camera quality is ok in this budget... YouTube is hanging after recent updates
"
1,"
Pros:1. Good battery life.2. Good design.3. Amoled screen is truly good.Cons:1. After 10 months of usage, the apps are crashing quite often.2. Also the phone gets stuck sometimes.Overall, a nice purchase.
"
2,"
Bahut accha phone hai muje bahut accha laga😊😊😊😊
"
3,"
Nice
"
4,"
Great
"
5,"
Everything excellent except 12NM based processor and back of phone, which is polycarbonate and gets scratched easily, Don't use any hard case...Battery 4.5/5 considering 12NM G95 ProcessorCamera 4.3/5Charge speed-Good (Takes almost an Hour to complete charge)Display 4.6/5 Colour accuracy could have been better(brightness and everything else is superbbb)Looks 4.7/5 May vary for youResponsiveness 5/5Finger reader 6/5Gaming 3.7/5,Supports 60FPS BGMI default but I experienced major frame drops, IDK why, but other devices should perform well.Uninstall all bloatware via ADB to improve performance even further.Stay on MIUI 12.5, better than MIUI 13(As of now), switch to INDONASIA ROM from INDIA ROM for better results and for MIUI Dialer and Messaging Apps.Hope it help........
"
6,"
Not much to complain about. The camera is a bit low in quality. Otherwise handles well. Decent.
"
7,"
Memory, Camera, Phone Speed, Colour etc.I don't dislike anything till now of this phone. I have been using it for 1 year now.
"
8,"
Good product with the best price.
"
9,"
70-80 like
"
10,"
I ordered this phone 1 year ago... Overll all it is an average phone and budget friendly but biggest issue is it's battery drainage... Camera quality is ok in this budget... YouTube is hanging after recent updates
"
11,"
Pros:1. Good battery life.2. Good design.3. Amoled screen is truly good.Cons:1. After 10 months of usage, the apps are crashing quite often.2. Also the phone gets stuck sometimes.Overall, a nice purchase.
"
12,"
Bahut accha phone hai muje bahut accha laga😊😊😊😊
"
13,"
Nice
"
14,"
Great
"
15,"
Everything excellent except 12NM based processor and back of phone, which is polycarbonate and gets scratched easily, Don't use any hard case...Battery 4.5/5 considering 12NM G95 ProcessorCamera 4.3/5Charge speed-Good (Takes almost an Hour to complete charge)Display 4.6/5 Colour accuracy could have been better(brightness and everything else is superbbb)Looks 4.7/5 May vary for youResponsiveness 5/5Finger reader 6/5Gaming 3.7/5,Supports 60FPS BGMI default but I experienced major frame drops, IDK why, but other devices should perform well.Uninstall all bloatware via ADB to improve performance even further.Stay on MIUI 12.5, better than MIUI 13(As of now), switch to INDONASIA ROM from INDIA ROM for better results and for MIUI Dialer and Messaging Apps.Hope it help........
"
16,"
Not much to complain about. The camera is a bit low in quality. Otherwise handles well. Decent.
"
17,"
Memory, Camera, Phone Speed, Colour etc.I don't dislike anything till now of this phone. I have been using it for 1 year now.
"
18,"
Good product with the best price.
"
19,"
70-80 like
"
20,"
Good quality
"
21,"
I like the color
"
22,"
Camera not up to the mark.
"
23,"
Overall average good performance
"
24,"
Good phone but heating when normal use for long time.
"
25,"
Good quality products mi
"
26,"
I am using this phone for almost 9 months. It is good smartphone. I am using many apps but phone does not hang. It is very good for rough and tough use. However camera quality is not good that’s why one star less.Only disappointment for me is camera otherwise the phone is all rounder
"
27,"
It's a year now using the Redmi 10s and seems like lt started giving up and app do not respond. I taught it was only with one app then other app also are behaving wierd. Sometimes get stuck and have to restart.
"
28,"
Nice one
"
29,"
Not much of a phone camera buff so can't comment on the camera quality. It's decent enough for my purpose but not good enough for social media posting.Battery on stand by with minimal usage lasts quite long. I would charge it in the morning at 90%, and after 12 hours it would come down only to 80-85%. But if I use it heavily on phone calls, Netflix, Brave, Youtube, etc. then I may have to charge it after a few hours since the battery would come down to 20-30%. This is compensated by Fast charging which is really great. I would charge my phone for  give or take 30-40 minutes and it would be fully charged from 10-20% to 90-100.Fingerprint scanner works quite well. Saved me a lot from embarrassing pocket dialing people.Sound quality of the stereo is really good. Quite loud and doesn't crack on full volume.The earphone jack is on the bottom of the phone near the charging point. I find it quite impractical if I want to put the phone vertically but I also find it convenient if I have to charge my phone and use it at the same time with the headphones connected. It is also quite convenient for me to just slide the phone ""head"" first in and out of my pocket when listening to music.
"
30,"
I'm using this mobile good experience for me
"
31,"
Overall its a good device with good display, battery backup, camera. However, after couple of weeks of usage, I observed few issues:1. Display change its color (kind of night mode with yellow tint) at fixed time in evening and comes back to normal in the morning. Surprisingly, there is no option to enable/disable this feature. May be they will realise the bug and give option for user to configure according to choice.2. YouTube videos in the app as well as in the Chrome show flickering in the lower part of display. In chrome its more frequent.3. After 30-40 min of YouTube usage, app starts freezing videos. If we use frequent fast forward then it is freezing even in 15-20 mins. The only remedy to this is force close the app and open again.
"
32,"
Second update complete mobile hang starting network okay but internet very bad
"
33,"
This is excellent according to price and it good for students.
"
34,"
Good phone, battery drain quickly. Avarage camara. Overall worth for the money
"
35,"
This is a best budget gaming phone 😀
"
36,"
Low quality processor
"
37,"
I liked it battery performance, storage , RAM , screen , body , weight .. all round this is a average looking dream phone .. so satisfied with Mi brand .  But still sometimes it's get over heat .  And some of buttons started automatically sometime
"
38,"
Hi.I've brought Redmi note 10s from Amazon 13 days before. Everything is fine expect the speaker of the phone. Issue is when I play songs there's an inturreption in between..Is there any way where I can exchange this one with another?I hope I'll get the response from Amazon team regarding this.
"
39,"
I like amoled display ,look & design of mobile.Camera and fast charger is also good.But i am little disappoint from battery backup.
"
40,"
It was awesome, really awesome display, awesome touch, awesome everything except, once you update to MIUI 13, you will start facing like 1000 issues. YouTube lags, dialer hangs when you receive call, WIFI dies and Touch will lag too. Just don't update MIUI 13
"
41,"
Pros is only it's camera quality and huge storage in this range.Cons after using it for 9 months are:-Low battery lifeHeating up too much.Gets switch off automatically sometimes.After 9 months of usage it started getting hang.
"
42,"
Very good mobile with enough memory and excellent battery and fast charging.. good to use.. but, camera is very poor, redmi compromised for camera in such a  poor way.. can't say any good thing to the camera..
"
43,"
Good
"
44,"
I got my order today.. the phone is nice but it heats alot charging.
"
45,"
Product is good but i got defective product and want to return
"
46,"
Brought it for my mom and I exchanged my old device for this. I liked the larger screen size, big battery life and the sound is awesome. Overall a worthy product for the price I paid.
"
47,"
I am using it for almost 3-4 months. It's overall performance is upto the mark.BATTERY - FOR HEAVY GAMES LIKE FREE FIRE, IT HAS A BACKUP OF ALMOST 5 HOURS (100-20)%.  OTHERWISE , IT PROVIDES SCREEN TIME OF 8-9 HOURS.PROCESSOR - DECENT PERFORMAMCE IN PLAYING GAMES. OPTIMISED GAMING MODE.CAMERA - UNSATISFACTORY, NOT AS PER THE PRICE .DISPLAY - EXCELLENT WORK ON DISPLAY.NO LAG IN MOBILE WHEN USING SEVERAL APPS.
"
48,"
Like
"
49,"
Mobile is excellent , it would be a best option if you are a normal user, if a gamer check for better options, display is awesome and RAM management is decent, overal a worthy mobile to buy.
"
50,"
helio g95 SoC gives u good performance in pubg (upto smooth 60fps n UHD 40fps) but the main problem is excessive heating and significant frame drops. i would recommend to buy a phone cooler like vero forza artic pro is best under budget. and play games in AC room or cool places.all mi phones have problems with updates. problems after mi13 update are gyro slow response, front camers freeze, youtube freeze and earph notification always appearing at notification shade. fingerprint sensor simetimes doesn't work properly.about updates, before u update the device pls wait for few weeks and check out reviews about updates whether its safe or not.
"
51,"
Pros:1: Amoled display - I really like the display (coming from the realme narzo 30 pro which was an LCD display) I really like the black color which is really dark and actually black. On the narzo it becomes grey when your outdoora Or in the sunlight. Can't speak more on this cause this is my first AMOLED display that I'm using.2: Battery life(SOT): The phone with 100% charge, gives me a full day of usage. By end of the day I would be remaining with 56% (more of emails, calls, social media, music, YouTube and mordrate games). The highest screen on time I've got is more then 9hrs which is great!3: Build Quality:The device feels solid in your palm. It very think and light . Been using it without any case for more then a month now and no scratches on the ohone. The back is kind of a matte finish which leaves no fingerprints.4: Speaker: So apparently it has dual speakers, which is decent. Really loud when compared to most of the single module setup. It's very decent.Cons:1: Fast Charge: The 33w fast charge isn't fast. Which is a big disappointed for me coming from the narzo 30 pro which was super fast when compared to this, it was so convenient for me and my lifestyle which I don't get from the redmi 10s.2: The OS does feel glitchy at times when going from one app to another or certain notifications that are blank. Overall I feel they can fix these with updates but definitely not close to stock Android which is not the case in narzo 30 pro. Very leas bloatware compared to the 10s.3:Earpiece: I found this weird that i could hear more clear from behind the earpiece which is next to the camera. I found it hard to listen when on a call and I'd have to listen to the earpiece from the extreme top which is a werid position to speak in.Camera: It did not meet my expectations... For this price point you can't expect much. It does the job in certain areas like indoors but with light. It's not clear when you take a picture with less light. Outdoors it kind of over saturates the images and it's just not perfect but does the job in a very decent way.
"
52,"
Budget friendly mobile and having very nice features in very low cost. Always very good mobile for use and smooth operating system.
"
53,"
Best phone in budget range
"
54,"
Vg
"
55,"
Nice
"
56,"
Over all this mobile is really good . The only problem i had to face is the speakers , they sometimes Off but yeah overall its value for money .
"
57,"
Mobile version and Parfomans good
"
58,"
Camera & Ram management and MI UI is poor .Gaming is so good this phone, Display decent,
"
59,"
MI camera quality is going down
"
60,"
Battery life and processor was goodAnd best for mobile gamer
"
61,"
Nice one. I love it
"
62,"
Thik thak h , Lakin ye heat hone lagta h Jaldi se .
"
63,
64,"
Good product
"
65,"
Good for Gaming at low price
"
66,"
Writing this after using for 4 months:-The handset is good and if u want to be in budget friendly then u can go for itPros:-Battery lifeAmoled display (impressed with it)Built qualityCons:-camera quality both fornt and back can be better in this budget segment (not as good as claimed in the discription)Overall it's a nice mobile. if camera is not a prior concern then go for it. Best for entertainment and gaming
"
67,"
Camera is very bad
"
68,"
the phone has some serious power and the screen quality is awsem the MOLEDscreen is just great
"
69,"
Best product
"
70,"
Screen qualitt is amazing.Fast charger received, but working like normal charger.I ordered 8gb ram but slower than my previous redmi y2 is the best than thisHanging up again and againI m not satisfied but didnt return. This is the fact. What i received is finally not a speed gadget as told in description.
"
71,"
So far good. Good for its value
"
72,"
A good budget phone, I have not seen any issues in a year of usage.
"
73,"
Best product get .. camera quality is good ✌️
"
74,"
Exactly a day before my warranty gets over, my phone got dead. So I took to the nearest service center. They have found it a resale product. And the warranty got over three months back by checking..Beware of these SellersI have registered a complaint now
"
